Country,agr_land,land_area,Birth Rate,cap_city,Co2,CPI,CPI_change,fert_rate,gas,GDP,child_death,life_expect,lang,health_cost,pop,tax_rev,unemploy,lat,lat
Germany,47.7,357022.0,9.5,Berlin,727973.0,112.85,1.4,1.56,1.39,3845630.030824,3.1,80.9,German,12.5,83132799.0,11.5,3.04,51.165691,10.451526
Ghana,69.0,238533.0,29.41,Accra,16670.0,268.36,7.2,3.87,0.92,66983.634224,34.9,63.8,English,36.1,30792608.0,12.6,4.33,7.946527,-1.023194
Greece,47.6,131957.0,8.1,Athens,62434.0,101.87,0.2,1.35,1.54,209852.761469,3.6,81.3,Greek,35.5,10716322.0,26.2,17.24,39.074208,21.824312
Grenada,23.5,349.0,16.47,St. George's,268.0,107.43,0.8,2.06,1.12,1228.17037,13.7,72.4,English,57.0,112003.0,19.4,,12.1165,-61.679
Guatemala,36.0,108889.0,24.56,Guatemala City,16777.0,142.92,3.7,2.87,0.79,76710.38588,22.1,74.1,Spanish,55.8,16604026.0,10.6,2.46,15.783471,-90.230759
Guinea,59.0,245857.0,36.36,Conakry,2996.0,262.95,9.5,4.7,0.9,13590.281809,64.9,61.2,French,54.5,12771246.0,10.8,4.3,9.945587,-9.696645
Guinea-Bissau,58.0,36125.0,35.13,Bissau,293.0,111.65,1.4,4.48,,1340.389411,54.0,58.0,Portuguese,37.2,1920922.0,10.3,2.47,11.803749,-15.180413
Guyana,8.6,214969.0,19.97,Georgetown,2384.0,116.19,2.1,2.46,0.9,4280.443645,25.1,69.8,English,40.5,782766.0,,11.85,4.860416,-58.93018
Haiti,66.8,27750.0,24.35,Port-au-Prince,2978.0,179.29,12.5,2.94,0.81,8498.981821,49.5,63.7,French,36.3,11263077.0,,13.78,18.971187,-72.285215
Honduras,28.9,112090.0,21.6,Tegucigalpa,9813.0,150.34,4.4,2.46,0.98,25095.395475,15.1,75.1,Spanish,49.1,9746117.0,17.3,5.39,15.199999,-86.241905
Hungary,58.4,93028.0,9.6,Budapest,45537.0,121.64,3.3,1.54,1.18,160967.157504,3.6,75.8,Hungarian,29.0,9769949.0,23.0,3.4,47.162494,19.503304
Iceland,18.7,103000.0,12.0,Reykjav��,2065.0,129.0,3.0,1.71,1.69,24188.035739,1.5,82.7,Icelandic,17.0,361313.0,23.3,2.84,64.963051,-19.020835
India,60.4,3287263.0,17.86,New Delhi,2407672.0,180.44,7.7,2.22,0.97,2611000.0,29.9,69.4,Hindi,65.1,1366417754.0,11.2,5.36,20.593684,78.96288
Indonesia,31.5,1904569.0,18.07,Jakarta,563325.0,151.18,3.0,2.31,0.63,1119190.780753,21.1,71.5,Indonesian,48.3,270203917.0,10.2,4.69,-0.789275,113.921327
Iran,28.2,1648195.0,18.78,Tehran,661710.0,550.93,39.9,2.14,0.4,445345.282123,12.4,76.5,Persian,39.7,82913906.0,7.4,11.38,32.427908,53.688046
